mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,Br,C,Cl,H,N,O,S,rdb,DBE,H/C,O/C,Ç¿¶È,N/C,KM,KMD
43.97,6005441,155.035084,155.034982,-0.101,-0.653,C7 H7 O4       ,0,7,0,7,0,4,0,4.5,4,1,0.571428571,,0,,
43.97,3221650,157.050739,157.050632,-0.106,-0.677,C7 H9 O4       ,0,7,0,9,0,4,0,3.5,3,1.285714286,0.571428571,,0,,
37.93,2369039,159.029999,159.029897,-0.102,-0.644,C6 H7 O5       ,0,6,0,7,0,5,0,3.5,3,1.166666667,0.833333333,,0,,
56.52,2571581,161.024365,161.024418,0.053,0.327,C9 H5 O3       ,0,9,0,5,0,3,0,7.5,7,0.555555556,0.333333333,,0,,
37.93,2392381,161.045662,161.045547,-0.115,-0.712,C6 H9 O5       ,0,6,0,9,0,5,0,2.5,2,1.5,0.833333333,,0,,
322.42,4436311,163.040169,163.040068,-0.101,-0.619,C9 H7 O3       ,0,9,0,7,0,3,0,6.5,6,0.777777778,0.333333333,,0,,
62.68,2893056,163.076546,163.076453,-0.093,-0.568,C10 H11 O2     ,0,10,0,11,0,2,0,5.5,5,1.1,0.2,,0,,
63.87,2425353,164.95878,164.958663,-0.117,-0.708,C6 H N2 S2     ,0,6,0,1,2,0,2,7.5,7,0.166666667,0,,0.333333333,,
50.18,21208014,165.01943,165.019332,-0.098,-0.594,C8 H5 O4       ,0,8,0,5,0,4,0,6.5,6,0.625,0.5,,0,,
56.52,4507784,165.055795,165.055718,-0.077,-0.469,C9 H9 O3       ,0,9,0,9,0,3,0,5.5,5,1,0.333333333,,0,,
50.18,6224229,167.035091,167.034982,-0.109,-0.65,C8 H7 O4       ,0,8,0,7,0,4,0,5.5,5,0.875,0.5,,0,,
56.52,6349536,167.071444,167.071368,-0.076,-0.457,C9 H11 O3      ,0,9,0,11,0,3,0,4.5,4,1.222222222,0.333333333,,0,,
44.11,6463368,169.014326,169.014247,-0.079,-0.468,C7 H5 O5       ,0,7,0,5,0,5,0,5.5,5,0.714285714,0.714285714,,0,,
50.18,6741892,169.050733,169.050632,-0.1,-0.593,C8 H9 O4       ,0,8,0,9,0,4,0,4.5,4,1.125,0.5,,0,,
56.52,2527104,169.087107,169.087018,-0.089,-0.528,C9 H13 O3      ,0,9,0,13,0,3,0,3.5,3,1.444444444,0.333333333,,0,,
90.03,25140216,170.844959,170.845049,0.09,0.526,C H Br2        ,2,1,0,1,0,0,0,0.5,0,1,0,,0,,
48.72,39228152,170.845128,170.845049,-0.079,-0.464,C H Br2        ,2,1,0,1,0,0,0,0.5,0,1,0,,0,,
193.76,3653061,170.885474,170.885393,-0.081,-0.474,C2 H Br Cl O2  ,1,2,1,1,0,2,0,1.5,1,0.5,1,,0,,
44.11,10835311,171.029999,171.029897,-0.102,-0.596,C7 H7 O5       ,0,7,0,7,0,5,0,4.5,4,1,0.714285714,,0,,
50.18,5458765,171.066374,171.066282,-0.091,-0.534,C8 H11 O4      ,0,8,0,11,0,4,0,3.5,3,1.375,0.5,,0,,
403.83,2760605,172.883446,172.883285,-0.161,-0.931,C2 H3 Br Cl S  ,1,2,1,3,0,0,1,0.5,0,1.5,0,,0,,
81.35,2349392,173.00336,173.003288,-0.072,-0.416,C13 H O        ,0,13,0,1,0,1,0,13.5,13,0.076923077,0.076923077,,0,,
38.14,2750464,173.009061,173.009161,0.101,0.583,C6 H5 O6       ,0,6,0,5,0,6,0,4.5,4,0.833333333,1,,0,,
38.14,3919168,173.009233,173.009161,-0.071,-0.412,C6 H5 O6       ,0,6,0,5,0,6,0,4.5,4,0.833333333,1,,0,,
44.11,7622946,173.045444,173.045547,0.103,0.595,C7 H9 O5       ,0,7,0,9,0,5,0,3.5,3,1.285714286,0.714285714,,0,,
44.11,11178849,173.045619,173.045547,-0.072,-0.414,C7 H9 O5       ,0,7,0,9,0,5,0,3.5,3,1.285714286,0.714285714,,0,,
50.18,2991555,173.082009,173.081932,-0.076,-0.44,C8 H13 O4      ,0,8,0,13,0,4,0,2.5,2,1.625,0.5,,0,,
62.79,4227264,175.039964,175.040068,0.104,0.595,C10 H7 O3      ,0,10,0,7,0,3,0,7.5,7,0.7,0.3,,0,,
62.79,5364864,175.040154,175.040068,-0.087,-0.495,C10 H7 O3      ,0,10,0,7,0,3,0,7.5,7,0.7,0.3,,0,,
44.11,2850915,175.0611,175.061197,0.097,0.554,C7 H11 O5      ,0,7,0,11,0,5,0,2.5,2,1.571428571,0.714285714,,0,,
68.96,4839173,175.07654,175.076453,-0.087,-0.495,C11 H11 O2     ,0,11,0,11,0,2,0,6.5,6,1,0.181818182,,0,,
167.29,2406396,176.048359,176.04838,0.021,0.121,C7 H11 Cl N O2 ,0,7,1,11,1,2,0,2.5,2,1.571428571,0.285714286,,0.142857143,,
540.47,2475453,176.05407,176.053944,-0.126,-0.716,C10 H10 N S    ,0,10,0,10,1,0,1,6.5,6,1,0,,0.1,,
105.81,8500327,177.019224,177.019332,0.108,0.613,C9 H5 O4       ,0,9,0,5,0,4,0,7.5,7,0.555555556,0.444444444,,0,,
34.93,15213799,177.019401,177.019332,-0.069,-0.39,C9 H5 O4       ,0,9,0,5,0,4,0,7.5,7,0.555555556,0.444444444,,0,,
62.79,3708208,177.055595,177.055718,0.123,0.694,C10 H9 O3      ,0,10,0,9,0,3,0,6.5,6,0.9,0.3,,0,,
62.79,6607792,177.055816,177.055718,-0.098,-0.553,C10 H9 O3      ,0,10,0,9,0,3,0,6.5,6,0.9,0.3,,0,,
68.96,3955577,177.09215,177.092103,-0.047,-0.265,C11 H13 O2     ,0,11,0,13,0,2,0,5.5,5,1.181818182,0.181818182,,0,,
